Title,Year,Rating
Taste of Cherry,1997,7.7
After the Wedding,2006,7.7
Evil,2003,7.7
Down by Law,1986,7.7
Joyeux Noel,2005,7.7
Adam's Apples,2005,7.7
The Girl Who Leapt Through Time,2006,7.7
Jules and Jim,1962,7.7
The Purple Rose of Cairo,1985,7.7
Joint Security Area,2000,7.7
My Life as a Zucchini,2016,7.7
Fireworks,1997,7.7
The Muppet Christmas Carol,1992,7.7
Love and Death,1975,7.7
The Past,2013,7.7
Zelig,1983,7.7
The Edge of Heaven,2007,7.7
The Fabelmans,2022,7.6
Once Upon a Time in Hollywood,2019,7.6
Harry Potter and the Sorcerer's Stone,2001,7.6
American Psycho,2000,7.6
Sicario,2015,7.6
A Star Is Born,2018,7.6
Kick-Ass,2010,7.6
Superbad,2007,7.6
The Fifth Element,1997,7.6
Moana,I) (2016,7.6
Guardians of the Galaxy Vol. 2,2017,7.6
Searching,III) (2018,7.6
300,2006,7.6
My Cousin Vinny,1992,7.6
Watchmen,2009,7.6
Office Space,1999,7.6
The Blind Side,2009,7.6
Minority Report,2002,7.6
Saw,2004,7.6
Stardust,2007,7.6
Kung Fu Panda,2008,7.6
Star Wars: Episode III - Revenge of the Sith,2005,7.6
RoboCop,1987,7.6
Moneyball,2011,7.6
Inside Man,2006,7.6
Hell or High Water,II) (2016,7.6
The Fly,1986,7.6
Eastern Promises,2007,7.6
From Here to Eternity,1953,7.6
The Skin I Live In,2011,7.6
The Butterfly Effect,2004,7.6
Mulan,1998,7.6
True Grit,2010,7.6
Dark Waters,2019,7.6
The Others,2001,7.6
Gone Baby Gone,2007,7.6
What We Do in the Shadows,2014,7.6
The Thin Red Line,1998,7.6
Dark City,1998,7.6
The Royal Tenenbaums,2001,7.6
Despicable Me,2010,7.6
The Mitchells vs the Machines,2021,7.6
Lethal Weapon,1987,7.6
End of Watch,2012,7.6
The Naked Gun: From the Files of Police Squad!,1988,7.6
The Jungle Book,1967,7.6
Dawn of the Planet of the Apes,2014,7.6
The Birds,1963,7.6
The Raid: Redemption,2011,7.6
Snow White and the Seven Dwarfs,1937,7.6
The Road Warrior,1981,7.6
Seven Pounds,2008,7.6
Ponyo,2008,7.6
Enter the Dragon,1973,7.6
Die Hard with a Vengeance,1995,7.6
Match Point,2005,7.6
After Hours,I) (1985,7.6
Rebel Without a Cause,1955,7.6
50/50,2011,7.6
The Bridges of Madison County,1995,7.6
The Last King of Scotland,2006,7.6
21 Grams,2003,7.6
Rushmore,1998,7.6
The Taking of Pelham One Two Three,1974,7.6
I Am Sam,2001,7.6
Barton Fink,1991,7.6
25th Hour,2002,7.6
Sabrina,1954,7.6
United 93,2006,7.6
Philomena,2013,7.6
A Very Long Engagement,2004,7.6
Control,2007,7.6
Shine,1996,7.6
Eyes Without a Face,1960,7.6
The Odd Couple,1968,7.6
The Invisible Man,1933,7.6
Celda 211,2009,7.6
